Hour,Mean,Sum
0,53.89807162534435,39130
1,33.3756906077348,24164
2,22.86993006993007,16352
3,11.727403156384504,8174
4,6.352941176470588,4428
5,19.88981868898187,14261
6,76.04413793103448,55132
7,212.0646492434663,154171
8,359.01100412654745,261001
9,219.30949105914718,159438
10,173.6685006877579,126257
11,208.1430536451169,151320
12,253.31593406593407,184414
13,253.66117969821673,184919
14,240.94924554183814,175652
15,251.2331961591221,183149
16,311.9835616438356,227748
17,461.45205479452056,336860
18,425.510989010989,309772
19,311.52335164835165,226789
20,226.03021978021977,164550
21,172.31456043956044,125445
22,131.33516483516485,95612
23,87.83104395604396,63941
